name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
netherlands,2022-12-26,9.2,5.3,7.6,6.6,2.2,4.1,4.7,82.7,1.165,100,37.5,rain,0,0,54.6,38.1,242.7,1012.8,80.3,24.9,11.6,0.9,1,10,2022-12-26T08:50:08,2022-12-26T16:31:50,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,E9178,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
netherlands,2022-12-27,7.3,5.4,6.5,3.7,1.6,2.6,3.6,82,0.281,100,16.67,rain,0,0,48.3,35.9,219.9,1020.8,75.1,29.5,28.9,2.5,3,10,2022-12-27T08:50:21,2022-12-27T16:32:37,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
netherlands,2022-12-28,10.8,6.4,8.9,10.8,1.8,5.3,7.6,91.1,3.421,100,62.5,rain,0,0,63.6,42.6,204,1006.6,99.4,19.5,5.8,0.6,0,10,2022-12-28T08:50:30,2022-12-28T16:33:28,0.17,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,E9178,06249099999,06240099999,C0449,06269099999,06257099999"
netherlands,2022-12-29,11,7.6,9.5,11,3.9,6.7,6.9,84.3,2.762,100,54.17,rain,0,0,63,41.7,220.9,1000.6,93.6,21.8,10.4,0.9,1,10,2022-12-29T08:50:36,2022-12-29T16:34:22,0.21,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,E9178,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
netherlands,2022-12-30,11.9,4.7,7.9,11.9,0,4.8,6.4,90.3,1.968,100,33.33,rain,0,0,60.5,44,193.9,1002.6,86.5,19.6,7.3,0.6,0,10,2022-12-30T08:50:38,2022-12-30T16:35:18,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
netherlands,2022-12-31,14.6,10.2,12.9,14.6,10.2,12.9,10.8,87.7,15.518,100,79.17,rain,0,0,73.6,46,218,1002.9,98.7,19.7,4.8,0.3,0,10,2022-12-31T08:50:37,2022-12-31T16:36:18,0.28,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,E9178,06249099999,06240099999,C0449,06269099999,06257099999"
netherlands,2023-01-01,14,10.3,12,14,10.3,12,8.5,79.2,7.659,100,33.33,rain,0,0,70.6,45.2,213.9,1010.4,99.7,24,19.3,1.7,1,10,2023-01-01T08:50:32,2023-01-01T16:37:21,0.31,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
netherlands,2023-01-02,11.1,4.8,8.7,11.1,2.4,6.7,7.4,91.7,5.107,100,45.83,rain,0,0,36.6,27.3,238.1,1014.7,79.2,26.2,10.5,0.8,1,10,2023-01-02T08:50:24,2023-01-02T16:38:26,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06249099999,06240099999,C0449,06269099999,06257099999"
netherlands,2023-01-03,9.4,1.6,5.8,5.3,-1.4,2.6,4.4,91.4,0.289,100,12.5,rain,0,0,49.4,37.5,182.5,1023.7,81.4,20.3,7.2,0.5,0,10,2023-01-03T08:50:12,2023-01-03T16:39:35,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"06260099999,D3248,06249099999,06240099999,C0449,06269099999,06257099999"
netherlands,2023-01-04,12.6,8.9,11.3,12.6,4.7,10.8,9.6,89.3,11.053,100,54.17,rain,0,0,73.6,50.2,230.9,1012.8,100,12.1,6.1,0.5,0,10,2023-01-04T08:49:57,2023-01-04T16:40:46,0.41,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,E9178,06249099999,06240099999,C0449,06269099999,06257099999"
