"date","new_cases","new_deaths","icu_patients","hosp_patients","stringency_index","reproduction_rate","temp","humidity","precip","windspeed","case_fatality"
2020-04-01,1093,135,1208,2945,78.7,0.123513266239707,3.8,76.4,0,17.2,0.123513266239707
2020-04-02,1028,166,1249,2807,78.7,0.16147859922179,7.4,76.2,0.115,33.8,0.16147859922179
2020-04-03,909,149,1276,2531,78.7,0.163916391639164,7,77.3,1.534,26.7,0.163916391639164
2020-04-04,1224,166,1360,2570,78.7,0.13562091503268,8.2,59.8,0,21,0.13562091503268
2020-04-05,954,115,1385,2270,78.7,0.120545073375262,12.5,48.5,0,30.9,0.120545073375262
2020-04-06,789,103,1409,2912,78.7,0.130544993662864,13.7,57.2,0.095,33.4,0.130544993662864
2020-04-07,972,234,1424,2713,78.7,0.240740740740741,11.6,73.7,0.967,17.5,0.240740740740741
2020-04-08,1213,147,1408,2864,78.7,0.12118713932399,14.3,66.4,0,13.8,0.12118713932399
2020-04-09,1338,148,1417,2733,78.7,0.110612855007474,12.8,70.2,0,16.7,0.110612855007474
2020-04-10,1323,117,1384,2675,78.7,0.0884353741496599,10.5,64.6,0,16.9,0.0884353741496599
2020-04-11,1174,133,1391,2685,78.7,0.113287904599659,12.7,51.2,0,13.6,0.113287904599659
2020-04-12,964,94,1358,2532,78.7,0.0975103734439834,13.1,64.3,0.007,22.2,0.0975103734439834
2020-04-13,868,86,1338,2415,78.7,0.0990783410138249,8,60.1,0.014,32,0.0990783410138249
2020-04-14,736,122,1303,2391,78.7,0.165760869565217,6.5,64.4,0.037,20.2,0.165760869565217
2020-04-15,1062,189,1279,2355,78.7,0.177966101694915,7.5,70.6,0,13,0.177966101694915
2020-04-16,1239,181,1258,2377,78.7,0.146085552865214,11.9,66.7,0,26.1,0.146085552865214
2020-04-17,1140,144,1235,2286,78.7,0.126315789473684,10.2,66.9,0,26.7,0.126315789473684
2020-04-18,1073,142,1201,2266,78.7,0.132339235787512,10.8,74.1,0.435,22.4,0.132339235787512
2020-04-19,753,84,1176,2149,78.7,0.111553784860558,12.2,50.1,0,28.6,0.111553784860558
2020-04-20,729,67,1158,2165,78.7,0.0919067215363512,12.3,42.5,0,38.7,0.0919067215363512
2020-04-21,708,165,1087,2157,78.7,0.233050847457627,13.6,43.5,0,41.6,0.233050847457627
2020-04-22,891,139,1050,2069,78.7,0.156004489337823,15,44.1,0,31.2,0.156004489337823
2020-04-23,808,124,1008,1856,78.7,0.153465346534653,15.3,51.2,0,16.3,0.153465346534653
2020-04-24,655,112,963,1765,78.7,0.170992366412214,12,68.4,0,21.5,0.170992366412214
2020-04-25,655,120,959,1746,78.7,0.183206106870229,9.4,66.8,0,19.4,0.183206106870229
2020-04-26,401,67,934,1704,78.7,0.167082294264339,8.6,74.3,0,13.2,0.167082294264339
2020-04-27,171,43,905,1626,78.7,0.251461988304094,11.6,71.6,0,20.8,0.251461988304094
2020-04-28,387,48,861,1569,78.7,0.124031007751938,9,87.8,2.973,23.3,0.124031007751938
2020-04-29,514,145,804,1575,78.7,0.282101167315175,10.6,85.8,4.082,28.6,0.282101167315175
2020-04-30,475,84,783,1471,78.7,0.176842105263158,11.3,73.2,2.701,33.6,0.176842105263158
2020-05-01,446,98,735,1468,78.7,0.219730941704036,10.4,80.8,7.063,33.8,0.219730941704036
2020-05-02,335,94,708,1494,78.7,0.280597014925373,10.6,79.1,1.802,29.6,0.280597014925373
2020-05-03,199,69,688,1380,78.7,0.346733668341709,11,78.5,0.394,16,0.346733668341709
2020-05-04,317,26,683,1333,78.7,0.082018927444795,11.1,72,0.329,22,0.082018927444795
2020-05-05,232,87,644,1333,78.7,0.375,8.9,65.2,0,23.7,0.375
2020-05-06,455,36,628,1352,78.7,0.0791208791208791,10.5,65.1,0,17.6,0.0791208791208791
2020-05-07,319,84,584,1286,78.7,0.263322884012539,11.6,67.2,0,12.2,0.263322884012539
2020-05-08,289,71,564,1189,78.7,0.245674740484429,14.3,65.6,0.018,13.4,0.245674740484429
2020-05-09,245,64,541,1132,78.7,0.261224489795918,16.9,61.2,0.028,20.5,0.261224489795918
2020-05-10,161,18,507,1054,78.7,0.111801242236025,13.4,72.8,0,41.7,0.111801242236025
2020-05-11,196,16,498,1118,71.3,0.0816326530612245,8.6,52,0.042,39,0.0816326530612245
2020-05-12,227,54,463,1110,71.3,0.237885462555066,7.8,67.3,0.272,23.2,0.237885462555066
2020-05-13,270,52,432,1031,71.3,0.192592592592593,7.7,65.7,0.636,28.3,0.192592592592593
2020-05-14,200,28,410,1029,71.3,0.14,7.3,61.5,0.053,21.5,0.14
2020-05-15,189,53,378,981,71.3,0.28042328042328,8.5,68.7,0,17.7,0.28042328042328
2020-05-16,126,27,346,971,71.3,0.214285714285714,10.6,72.7,0,26.9,0.214285714285714
2020-05-17,146,10,349,919,71.3,0.0684931506849315,12.4,67,0,27.1,0.0684931506849315
2020-05-18,108,14,323,909,71.3,0.12962962962963,14,70.7,0,27.4,0.12962962962963
2020-05-19,198,21,293,933,71.3,0.106060606060606,15.3,74.7,0,23.9,0.106060606060606
2020-05-20,253,33,275,922,71.3,0.130434782608696,16.6,71.9,0,15.3,0.130434782608696
2020-05-21,188,27,255,911,71.3,0.143617021276596,18.9,64.8,0,18.9,0.143617021276596
2020-05-22,176,13,252,863,71.3,0.0738636363636364,18.6,62,0.063,40,0.0738636363636364
2020-05-23,172,23,227,811,71.3,0.133720930232558,15,65.9,0,41.6,0.133720930232558
2020-05-24,209,11,223,730,71.3,0.0526315789473684,13.5,79.1,2.59,30.7,0.0526315789473684
2020-05-25,133,8,223,756,71.3,0.0601503759398496,15.3,74.8,0.051,20,0.0601503759398496
2020-05-26,190,26,188,698,71.3,0.136842105263158,15.4,73.5,0,13.8,0.136842105263158
