name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
netherlands,2020-03-01,8.1,5.1,6.2,3.4,-0.4,1.4,2.6,77.5,0.413,100,45.83,rain,0,0,66.8,47,213.7,990.2,76.6,33.6,149,12.7,5,,2020-03-01T07:25:47,2020-03-01T18:20:21,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,E5029,06348099999,06249099999,06240099999,C0449,D0247,06269099999,06235099999,06257099999,06344099999"
netherlands,2020-03-02,7.6,3.4,5.3,5.7,-0.2,2,4,91.4,5.161,100,58.33,rain,0,0,32.4,22.7,192.4,989.8,78,19.5,57.9,5.1,1,,2020-03-02T07:23:33,2020-03-02T18:22:11,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,06348099999,06249099999,06240099999,C0449,D0247,06269099999,06235099999,06257099999,06344099999"
netherlands,2020-03-03,8.5,1.5,4.6,4.8,-2.3,1.2,1.9,83.3,0.758,100,20.83,rain,0,0,40,27.1,225.9,1000.9,37.8,26.9,140.6,12.2,5,,2020-03-03T07:21:18,2020-03-03T18:24:00,0.29,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"06260099999,D3248,E5029,06348099999,06249099999,06240099999,C0449,D0247,06269099999,06235099999,06257099999,06344099999"
netherlands,2020-03-04,9,4.1,6.2,6.8,1.6,3.9,3.2,81.9,0.96,100,33.33,rain,0,0,34,24.3,240.3,1008.4,80.2,20.6,192.8,16.6,4,,2020-03-04T07:19:03,2020-03-04T18:25:49,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"06260099999,D3248,E5029,06348099999,06249099999,06240099999,C0449,D0247,06269099999,06235099999,06257099999,06344099999"
netherlands,2020-03-05,7,4.5,5.7,3.4,1.2,2.3,3.9,88.7,5.186,100,54.17,rain,0,0,40,24.5,80.5,996.3,97.7,15.3,111.9,9.7,1,,2020-03-05T07:16:48,2020-03-05T18:27:38,0.36,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06260099999,D3248,E5029,06348099999,06249099999,06240099999,C0449,D0247,06269099999,06235099999,06257099999,06344099999"
netherlands,2020-03-06,8.9,5.4,6.6,5.6,1.6,3.2,3.8,83,3.774,100,33.33,rain,0,0,38.3,24.8,348.5,998.2,98.6,12.9,104.1,9,3,,2020-03-06T07:14:31,2020-03-06T18:29:27,0.39,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"06260099999,06348099999,06249099999,06240099999,C0449,D0247,06269099999,06235099999,06257099999,06344099999"
netherlands,2020-03-07,10,1.8,6.5,10,-0.6,3.7,2.7,77.8,0,0,0,,0,0,43.2,30.8,227.7,1015.2,46.3,27.8,141.5,12.3,5,,2020-03-07T07:12:15,2020-03-07T18:31:15,0.42,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,D0247,06269099999,06235099999,06257099999,06344099999"
netherlands,2020-03-08,10.6,7.9,8.9,10.6,4,5.8,6.4,84.3,6.824,100,33.33,rain,0,0,54,37.5,201.9,1008.8,95.1,19.9,137.7,11.8,2,,2020-03-08T07:09:57,2020-03-08T18:33:03,0.46,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06260099999,E5029,06348099999,06249099999,06240099999,C0449,D0247,06269099999,06235099999,06257099999,06344099999"
netherlands,2020-03-09,9.6,6.4,7.9,6.2,3.2,4.6,5,82.4,0.982,100,37.5,rain,0,0,41.6,28,239,1010,86.8,18.7,87.2,7.3,3,,2020-03-09T07:07:40,2020-03-09T18:34:50,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,E5029,C0449,06257099999,D3248,06348099999,06249099999,06240099999,F5767,D0247,06269099999,06235099999,06344099999"
netherlands,2020-03-10,11.7,6.6,10,11.7,1.7,8.5,8.7,92.1,11.932,100,79.17,rain,0,0,67.6,47.7,232.9,1002.7,98.7,10.7,104.2,9,1,,2020-03-10T07:05:22,2020-03-10T18:36:38,0.52,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,E5029,06348099999,06249099999,06240099999,C0449,D0247,06269099999,06235099999,06257099999,06344099999,EHAM"
